# x,y,rho,vel_x,vel_y,p
5.000000000000000104e-03,5.000000000000000104e-03,5.312999999999999945e-01,1.000000000000000056e-01,7.276000000000000245e-01,4.000000000000000222e-01
1.499999999999999944e-02,5.000000000000000104e-03,5.312999999999999945e-01,1.000000000000000056e-01,7.276000000000000245e-01,4.000000000000000222e-01
2.500000000000000139e-02,5.000000000000000104e-03,5.312999999999999945e-01,1.000000000000000056e-01,7.276000000000000245e-01,4.000000000000000222e-01
3.499999999999999639e-02,5.000000000000000104e-03,5.312999999999999945e-01,1.000000000000000056e-01,7.276000000000000245e-01,4.000000000000000222e-01
4.499999999999999833e-02,5.000000000000000104e-03,5.312999999999999945e-01,1.000000000000000056e-01,7.276000000000000245e-01,4.000000000000000222e-01
5.500000000000000028e-02,5.000000000000000104e-03,5.312999999999999945e-01,1.000000000000000056e-01,7.276000000000000245e-01,4.000000000000000222e-01
6.500000000000000222e-02,5.000000000000000104e-03,5.312999999999999945e-01,1.000000000000000056e-01,7.276000000000000245e-01,4.000000000000000222e-01
7.500000000000001110e-02,5.000000000000000104e-03,5.312999999999999945e-01,1.000000000000000056e-01,7.276000000000000245e-01,4.000000000000000222e-01
8.500000000000000611e-02,5.000000000000000104e-03,5.312999999999999945e-01,1.000000000000000056e-01,7.276000000000000245e-01,4.000000000000000222e-01
9.500000000000000111e-02,5.000000000000000104e-03,5.312999999999999945e-01,1.000000000000000056e-01,7.276000000000000245e-01,4.000000000000000222e-01
1.050000000000000100e-01,5.000000000000000104e-03,5.312999999999999945e-01,1.000000000000000056e-01,7.276000000000000245e-01,4.000000000000000222e-01
1.150000000000000050e-01,5.000000000000000104e-03,5.312999999999999945e-01,1.000000000000000056e-01,7.276000000000000245e-01,4.000000000000000222e-01
1.250000000000000000e-01,5.000000000000000104e-03,5.312999999999999945e-01,1.000000000000000056e-01,7.276000000000000245e-01,4.000000000000000222e-01
1.350000000000000089e-01,5.000000000000000104e-03,5.312999999999999945e-01,1.000000000000000056e-01,7.276000000000000245e-01,4.000000000000000222e-01
1.450000000000000178e-01,5.000000000000000104e-03,5.312999999999999945e-01,1.000000000000000056e-01,7.276000000000000245e-01,4.000000000000000222e-01
1.549999999999999989e-01,5.000000000000000104e-03,5.312999999999999945e-01,1.000000000000000056e-01,7.276000000000000245e-01,4.000000000000000222e-01
1.650000000000000078e-01,5.000000000000000104e-03,5.312999999999999945e-01,1.000000000000000056e-01,7.276000000000000245e-01,4.000000000000000222e-01
1.750000000000000167e-01,5.000000000000000104e-03,5.312999999999999945e-01,1.000000000000000056e-01,7.276000000000000245e-01,4.000000000000000222e-01
1.849999999999999978e-01,5.000000000000000104e-03,5.313000000000002165e-01,9.999999999999963085e-02,7.276000000000001355e-01,4.000000000000001887e-01
1.950000000000000067e-01,5.000000000000000104e-03,5.313000000000056566e-01,9.999999999998844535e-02,7.276000000000000245e-01,4.000000000000060174e-01
2.050000000000000155e-01,5.000000000000000104e-03,5.313000000001188994e-01,9.999999999976015574e-02,7.276000000000001355e-01,4.000000000001252554e-01
