# x,y,rho,vel_x,vel_y,p
5.000000000000000104e-03,5.000000000000000104e-03,5.312999999999999945e-01,8.276000000000000023e-01,0.000000000000000000e+00,4.000000000000000222e-01
1.499999999999999944e-02,5.000000000000000104e-03,5.312999999999999945e-01,8.276000000000000023e-01,0.000000000000000000e+00,4.000000000000000222e-01
2.500000000000000139e-02,5.000000000000000104e-03,5.312999999999999945e-01,8.276000000000000023e-01,0.000000000000000000e+00,4.000000000000000222e-01
3.499999999999999639e-02,5.000000000000000104e-03,5.312999999999999945e-01,8.276000000000000023e-01,0.000000000000000000e+00,4.000000000000000222e-01
4.499999999999999833e-02,5.000000000000000104e-03,5.312999999999999945e-01,8.276000000000000023e-01,0.000000000000000000e+00,4.000000000000000222e-01
5.500000000000000028e-02,5.000000000000000104e-03,5.312999999999999945e-01,8.276000000000000023e-01,0.000000000000000000e+00,4.000000000000000222e-01
6.500000000000000222e-02,5.000000000000000104e-03,5.312999999999999945e-01,8.276000000000000023e-01,0.000000000000000000e+00,4.000000000000000222e-01
7.500000000000001110e-02,5.000000000000000104e-03,5.312999999999999945e-01,8.276000000000000023e-01,0.000000000000000000e+00,4.000000000000000222e-01
8.500000000000000611e-02,5.000000000000000104e-03,5.312999999999999945e-01,8.276000000000000023e-01,0.000000000000000000e+00,4.000000000000000222e-01
9.500000000000000111e-02,5.000000000000000104e-03,5.312999999999999945e-01,8.276000000000000023e-01,0.000000000000000000e+00,4.000000000000000222e-01
1.050000000000000100e-01,5.000000000000000104e-03,5.312999999999999945e-01,8.276000000000000023e-01,0.000000000000000000e+00,4.000000000000000222e-01
1.150000000000000050e-01,5.000000000000000104e-03,5.312999999999999945e-01,8.276000000000000023e-01,0.000000000000000000e+00,4.000000000000000222e-01
1.250000000000000000e-01,5.000000000000000104e-03,5.312999999999999945e-01,8.276000000000000023e-01,0.000000000000000000e+00,4.000000000000000222e-01
1.350000000000000089e-01,5.000000000000000104e-03,5.312999999999999945e-01,8.276000000000000023e-01,0.000000000000000000e+00,4.000000000000000222e-01
1.450000000000000178e-01,5.000000000000000104e-03,5.312999999999999945e-01,8.276000000000000023e-01,0.000000000000000000e+00,4.000000000000000222e-01
1.549999999999999989e-01,5.000000000000000104e-03,5.312999999999999945e-01,8.276000000000000023e-01,0.000000000000000000e+00,4.000000000000000222e-01
1.650000000000000078e-01,5.000000000000000104e-03,5.312999999999999945e-01,8.276000000000000023e-01,0.000000000000000000e+00,4.000000000000000222e-01
1.750000000000000167e-01,5.000000000000000104e-03,5.312999999999999945e-01,8.276000000000000023e-01,0.000000000000000000e+00,4.000000000000000222e-01
1.849999999999999978e-01,5.000000000000000104e-03,5.312999999999999945e-01,8.276000000000000023e-01,0.000000000000000000e+00,4.000000000000000222e-01
1.950000000000000067e-01,5.000000000000000104e-03,5.312999999999999945e-01,8.276000000000000023e-01,0.000000000000000000e+00,4.000000000000000222e-01
2.050000000000000155e-01,5.000000000000000104e-03,5.312999999999999945e-01,8.276000000000000023e-01,0.000000000000000000e+00,4.000000000000000222e-01
2.149999999999999967e-01,5.000000000000000104e-03,5.312999999999999945e-01,8.276000000000000023e-01,0.000000000000000000e+00,4.000000000000000222e-01
2.250000000000000056e-01,5.000000000000000104e-03,5.312999999999999945e-01,8.276000000000000023e-01,0.000000000000000000e+00,4.000000000000000222e-01
2.350000000000000144e-01,5.000000000000000104e-03,5.312999999999999945e-01,8.276000000000000023e-01,0.000000000000000000e+00,4.000000000000000222e-01
2.449999999999999956e-01,5.000000000000000104e-03,5.313000000000027701e-01,8.275999999999946732e-01,0.000000000000000000e+00,4.000000000000027423e-01
2.550000000000000044e-01,5.000000000000000104e-03,5.313000000000346335e-01,8.275999999999329448e-01,0.000000000000000000e+00,4.000000000000364930e-01
2.650000000000000133e-01,5.000000000000000104e-03,5.313000000004245438e-01,8.275999999991795475e-01,0.000000000000000000e+00,4.000000000004475531e-01
2.750000000000000222e-01,5.000000000000000104e-03,5.313000000050570604e-01,8.275999999902280413e-01,0.000000000000000000e+00,4.000000000053302029e-01
2.850000000000000311e-01,5.000000000000000104e-03,5.313000000589416238e-01,8.275999998861046647e-01,0.000000000000000000e+00,4.000000000621254381e-01
2.949999999999999845e-01,5.000000000000000104e-03,5.313000006735472125e-01,8.275999986984752255e-01,0.000000000000000000e+00,4.000000007099314137e-01
